127.0.0.1 - - [30/Sep/2014:16:13:18 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:20 +0300] "GET /AirlineZemliakov/ HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/css/reset.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/css/style.css HTTP/1.1" 200 19769
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/css/layout.css HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/images/tabs.gif HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/images/bg_img.jpg HTTP/1.1" 200 491155
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/images/bg_top.jpg HTTP/1.1" 200 33298
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/images/logo.png HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/images/bg_top_img.jpg HTTP/1.1" 200 47149
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /AirlineZemliakov/images/button_1.gif HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:21 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:22 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:23 +0300] "GET /AirlineZemliakov/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:23 +0300] "GET /AirlineZemliakov/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:23 +0300] "GET /AirlineZemliakov/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2014:16:13:24 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 6774
