127.0.0.1 - - [09/Oct/2014:17:23:34 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/ HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/css/layout.css HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/css/style.css HTTP/1.1" 200 19769
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/images/bg_img.jpg HTTP/1.1" 200 491155
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/images/bg_top_img.jpg HTTP/1.1" 200 47149
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/images/button_1.gif HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/images/tabs.gif HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/images/bg_top.jpg HTTP/1.1" 200 33298
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /AirlineZemliakov/images/logo.png HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:35 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:36 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:50 +0300] "GET /AirlineZemliakov/index.jsp HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:23:51 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:24:06 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:24:44 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:24:51 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 5115
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:24:51 +0300] "GET /AirlineZemliakov/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:24:51 +0300] "GET /AirlineZemliakov/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:25:04 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 8920
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:25:11 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 9126
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:25:15 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 9296
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:25:15 +0300] "GET /AirlineZemliakov/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2014:17:25:15 +0300] "GET /AirlineZemliakov/css/style.css HTTP/1.1" 304 -
